EVENT_NO,LAT,LONGT
16AG5009, 36.72867,-119.73647
16AA0181, 36.78682,-119.78149
16AA0978, 36.75093,-119.81311
16AA1132, 36.80822,-119.84441
16AA1135, 36.73550,-119.80778
16AA1155, 36.72644,-119.81170
16AA1187, 36.77401,-119.80409
16AA1230, 36.75772,-119.74316
16AA1242, 36.76501,-119.78154
16AA1250, 36.75772,-119.73638
16AA1307,,
16AA1315, 36.83717,-119.86242
16AA1326, 36.78386,-119.82203
16AA1334, 36.75544,-119.78351
16AA1349, 36.74773,-119.77476
16AA1376, 36.73463,-119.78913
16AA1373, 36.75767,-119.80104
16AA1387, 36.83704,-119.79928
16AA1424, 36.78863,-119.79053
16AA1427, 36.84006,-119.79033
16AA1427, 36.84006,-119.79033
16AA1430, 36.82286,-119.80834
16AA1441, 36.83697,-119.81733
16AA1431, 36.79046,-119.79053
16AA1460, 36.77222,-119.79956
16AA1461, 36.77202,-119.82440
16AA1486, 36.84267,-119.79045
16AA1522, 36.75770,-119.77251
16AA1535, 36.75020,-119.83557
16AA1536, 36.72533,-119.79227
16AA1547, 36.75038,-119.80288
16AA1556, 36.75221,-119.80969
16AA1669, 36.70773,-119.71844
16AA1730, 36.71494,-119.71847
16AA1862, 36.77939,-119.81311
16AA2148, 36.75043,-119.70015
16AA2215, 36.78863,-119.79053
16AA2229, 36.73772,-119.74549
16AA2250, 36.80857,-119.77686
16AA2257, 36.80132,-119.79048
16AA2320, 36.79046,-119.79053
16AA2336, 36.75536,-119.79883
16AA2464, 36.85192,-119.78371
16AA2496, 36.84091,-119.79037
16AA2517, 36.71412,-119.80436
16AA2486, 36.80853,-119.79045
16AA2571, 36.75941,-119.73633
16AA2578, 36.77936,-119.82058
16AA2580, 36.77208,-119.81763
16AA2583, 36.83752,-119.74518
16AA2587, 36.77228,-119.78155
16AA2591, 36.77949,-119.79958
16AA2626, 36.83726,-119.79025
16AA2627, 36.83746,-119.78123
16AA2637, 36.77218,-119.70024
16AA2695, 36.80857,-119.78139
16AA2727, 36.71860,-119.81782
16AA2747, 36.83644,-119.78124
16AA3071, 36.77969,-119.78153
16AA3689, 36.75042,-119.79889
16AA3695, 36.83560,-119.79026
16AA3708, 36.83644,-119.78124
16AA3719, 36.79410,-119.79052
16AA3740, 36.77949,-119.79958
16AA3740, 36.77949,-119.79958
16AA3740, 36.77949,-119.79958
16AA3754, 36.84006,-119.79033
16AA3755, 36.81934,-119.79043
16AA3786, 36.83726,-119.79025
16AA3822, 36.77329,-119.83551
16AA3831, 36.75767,-119.80104
16AA3839, 36.72862,-119.75460
16AA3840, 36.75039,-119.80032
16AA3850, 36.69239,-119.75786
16AA3871, 36.76501,-119.78154
16AA3870, 36.75591,-119.75898
